Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Payment Method,Rating,Reviews
P0001,10001,2024-10-01,Clothing,Vuori Performance Joggers,1,8609.68,8609.68,Debit Card,3,Middle of the pack. Not disappointed but not impressed either.
P0002,10002,2024-02-14,Electronics,iPad Air,1,68719.97,68719.97,Google Pay,4,Excellent product that does the job well. Only minor complaints.
P0003,10003,2024-03-21,Sports,Hydro Flask Wide Mouth,1,4476.32,4476.32,Credit Card,2,Disappointing quality for the price. Expected much better based on the description.
P0004,10004,2024-11-06,Beauty Products,Dior Lip Glow Oil,1,3711.66,3711.66,Debit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0005,10005,2024-02-28,Books,Maybe You Should Talk to Someone by Lori Gottlieb,2,1262.85,2525.70,Apple Pay,4,Works great and looks good too. Very pleased with this purchase overall.
P0006,10006,2024-02-10,Books,The Housemaid by Freida McFadden,2,1002.15,2004.30,Credit Card,3,"It does the job adequately. Not great, not terrible, just middle of the road."
P0007,10007,2024-12-28,Clothing,Lululemon Wunder Train Leggings,3,9729.51,29188.53,Apple Pay,3,Decent product for the price. Nothing to write home about but it works.
P0008,10008,2024-03-12,Clothing,Adidas Samba OG,2,10110.97,20221.94,Debit Card,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0009,10009,2024-08-08,Home Appliances,Samsung Bespoke Refrigerator,1,285898.47,285898.47,Google Pay,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0010,10010,2024-11-25,Electronics,AirPods Pro 2nd Gen,1,24200.96,24200.96,Debit Card,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0011,10011,2024-04-19,Books,Klara and the Sun by Kazuo Ishiguro,1,1389.94,1389.94,Apple Pay,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
P0012,10012,2024-04-18,Sports,Under Armour Sportstyle Shorts,1,3507.71,3507.71,Credit Card,4,Really happy with this. Does exactly what it says and the quality is very good.
P0013,10013,2024-12-05,Sports,RumbleRoller Deep Tissue Roller,1,4051.23,4051.23,Debit Card,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
P0014,10014,2024-11-14,Electronics,Beats Studio Pro,1,35100.79,35100.79,Apple Pay,4,Excellent product that does the job well. Only minor complaints.
