Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Payment Method,Rating,Reviews
P00001,20001,2025-06-07,Beauty Products,Augustinus Bader The Rich Cream,1,27916.62,27916.62,Debit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P00002,20002,2025-08-23,Beauty Products,The Ordinary Hyaluronic Acid 2%,1,696.84,696.84,Credit Card,4,Very satisfied customer. The product is well-designed and performs reliably.
P00003,20003,2025-08-26,Clothing,Allbirds Wool Runners,4,10803.65,43214.60,Credit Card,5,Perfect in every way. The design is beautiful and the functionality is top-tier.
P00004,20004,2025-03-19,Clothing,Canada Goose Expedition Parka,1,152498.43,152498.43,PayPal,2,Mediocre at best. I would not buy this again or recommend it to anyone.
P00005,20005,2025-05-02,Home Appliances,Shark Steam Mop S7000,2,14810.85,29621.70,Apple Pay,0,Stay away from this product. It's a complete rip-off and doesn't work at all.
P00006,20006,2025-02-17,Home Appliances,KitchenAid Food Processor 14-Cup,2,25849.61,51699.22,Apple Pay,5,I'm blown away by the quality. This is worth every single rupee. Highly recommend!
P00007,20007,2025-03-26,Books,The Silent Patient by Alex Michaelides,2,1028.24,2056.48,Debit Card,3,It's an okay product. Does the basics but nothing extraordinary. Decent for the price.
P00008,20008,2025-02-06,Books,Pachinko by Min Jin Lee,3,1231.97,3695.91,Google Pay,3,Works as described but nothing special. Fair value for what you pay.
P00009,20009,2025-05-01,Clothing,Vuori Performance Joggers,1,8816.48,8816.48,Credit Card,1,Terrible product. Broke almost immediately and the quality is shockingly bad.
P00010,20010,2025-09-15,Home Appliances,Bodum Chambord French Press,2,3067.77,6135.54,PayPal,4,Four stars because it's very good but not perfect. Still a great buy overall.
P00011,20011,2025-07-02,Electronics,PlayStation 5 Slim,3,55859.05,167577.15,PayPal,3,Acceptable quality but there's room for improvement. I've seen better and worse.
P00012,20012,2025-03-04,Electronics,Logitech MX Keys S Keyboard,1,13406.84,13406.84,Google Pay,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P00013,20013,2025-12-11,Books,A Court of Mist and Fury by Sarah J. Maas,4,1428.49,5713.96,Debit Card,1,Extremely dissatisfied. The product stopped working within the first week.
P00014,20014,2025-03-03,Books,Happy Place by Emily Henry,1,1147.82,1147.82,Credit Card,4,Works great and looks good too. Very pleased with this purchase overall.
P00015,20015,2025-06-27,Clothing,Columbia Newton Ridge Hiking Boots,1,9215.60,9215.60,Debit Card,5,Absolutely love this product! Exceeded all my expectations and the quality is outstanding.
P00016,20016,2025-12-24,Clothing,Columbia Newton Ridge Hiking Boots,4,8795.97,35183.88,PayPal,5,I'm blown away by the quality. This is worth every single rupee. Highly recommend!
P00017,20017,2025-05-28,Sports,Garmin Venu 3S,3,39001.78,117005.34,PayPal,3,Acceptable quality but there's room for improvement. I've seen better and worse.
P00018,20018,2025-05-25,Electronics,Sony WH-1000XM6 Headphones,5,44616.62,223083.10,UPI,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P00019,20019,2025-12-28,Clothing,Uniqlo Airism T-Shirt,4,1995.29,7981.16,UPI,4,Good value for money. The product is well-made and serves its purpose perfectly.
P00020,20020,2025-06-22,Beauty Products,Saie Glowy Super Skin Lightweight Gel,1,3159.11,3159.11,PayPal,3,"Adequate for basic use. If you need something simple, this works fine."
